Feature,Importance
num__QualityLivArea,0.11400801
num__OverallQual,0.11278388
num__TotalHouseSF,0.09542473
cat__GarageFinish_Unf,0.05438568
cat__CentralAir_Y,0.033739813
cat__BsmtQual_Ex,0.033609618
num__TotalSF,0.030091943
cat__BsmtQual_TA,0.025539547
cat__CentralAir_N,0.02543718
cat__KitchenQual_TA,0.02521081
num__Quality_x_School,0.021513283
num__KitchenAbvGr,0.02068172
num__TotalHomeQuality,0.018868877
cat__MSZoning_RL,0.017700933
num__TotalBath,0.016947743
num__HouseAge,0.01569802
cat__MSZoning_RM,0.015423789
num__GarageScore,0.013224742
num__Fireplaces,0.011384399
num__GarageCars,0.011130102
cat__Neighborhood_OldTown,0.010715769
num__YearsSinceRemodel,0.010489898
cat__GarageType_Detchd,0.00984759
cat__KitchenQual_Ex,0.009822726
num__YearRemodAdd,0.009282239
cat__KitchenQual_Gd,0.009145127
num__RemodAge,0.008223787
num__YearBuilt,0.007193247
num__HasFireplace,0.007125901
num__BsmtFinSF1,0.0068652346
num__BathPerBedroom,0.006860309
cat__BsmtFinType1_GLQ,0.004513218
cat__BsmtExposure_Gd,0.003665539
cat__SaleType_New,0.003539574
cat__Fence_GdWo,0.0034927311
cat__BsmtCond_Fa,0.0034520007
num__LotArea,0.003374747
cat__BsmtFinType1_Unf,0.0033651923
cat__PavedDrive_N,0.0033258067
cat__SaleCondition_Partial,0.0032975976
num__TotalBsmtSF,0.003170844
num__LivingArea_x_School,0.002804007
cat__LotShape_Reg,0.0026211373
cat__BsmtExposure_No,0.0026131077
cat__Functional_Typ,0.0026052918
cat__ExterQual_Fa,0.0025643106
num__TotalRooms,0.0025468287
cat__SaleCondition_Abnorml,0.0025098945
num__1stFlrSF,0.0024985175
cat__HeatingQC_Fa,0.0024802214
num__OutdoorSF,0.0024161818
cat__Fence_GdPrv,0.002397209
num__GarageArea,0.0023915863
cat__MSZoning_C (all),0.0023307642
cat__Neighborhood_Crawfor,0.0022879217
cat__Exterior1st_Plywood,0.00223679
num__OverallCond,0.0022212283
cat__Condition1_Artery,0.002151407
num__TotRmsAbvGrd,0.0018204675
cat__LandSlope_Gtl,0.0017495954
cat__Neighborhood_NAmes,0.0017230639
cat__Functional_Mod,0.0017080184
cat__SaleCondition_Normal,0.0016964739
num__LivLotRatio,0.0016551843
cat__Exterior1st_BrkFace,0.0016441832
num__OpenPorchSF,0.0015966054
cat__SaleCondition_Family,0.0014862248
cat__Electrical_FuseA,0.0014495358
num__Age_x_School,0.0014402706
num__WoodDeckSF,0.0013753369
cat__KitchenQual_Fa,0.0013395903
num__GarageAge,0.001327587
num__GrLivArea,0.0013237961
cat__RoofStyle_Flat,0.0013108912
num__GarageYrBlt,0.0013052167
cat__PavedDrive_Y,0.0012675676
cat__Condition1_Norm,0.0012482662
cat__Foundation_CBlock,0.0012314668
cat__ExterCond_TA,0.001209687
num__BsmtUnfSF,0.0012052367
cat__FireplaceQu_Gd,0.0011700589
num__LotFrontage,0.0011651086
cat__Exterior2nd_Plywood,0.0011517815
num__EnclosedPorch,0.0011387425
cat__LandContour_HLS,0.0011229465
cat__FireplaceQu_Po,0.00110531
cat__RoofStyle_Gable,0.0011022348
cat__FireplaceQu_TA,0.0010993151
cat__LotConfig_CulDSac,0.0010884583
num__TotalPorchSF,0.0010705488
cat__School_Rating_Category_Real_District Average Proxy,0.001069666
cat__Exterior2nd_MetalSd,0.0010492257
num__2ndFlrSF,0.0010362699
num__YrSold,0.0010308853
cat__BsmtFinType2_BLQ,0.0010243367
cat__Exterior1st_AsbShng,0.0010239792
cat__School_Merge_Type_Ames district weighted average,0.0010199563
num__PoolArea,0.0010034408
cat__MasVnrType_Stone,0.0009903209
cat__LandContour_Lvl,0.0009885975
cat__LandSlope_Mod,0.0009790435
cat__Matched_School_Edwards Elementary School,0.00097220385
cat__Neighborhood_ClearCr,0.00096178
num__School_Index_Real,0.0009530313
cat__ExterCond_Gd,0.0009495213
cat__RoofStyle_Hip,0.00092607597
num__BedroomAbvGr,0.0009256865
cat__HouseStyle_1Story,0.00089617184
cat__BsmtFinType1_BLQ,0.0008804673
cat__GarageFinish_RFn,0.00087955885
num__MSSubClass,0.0008725637
cat__Exterior2nd_Wd Shng,0.0008631328
num__MasVnrArea,0.0008627926
cat__BsmtFinType1_Rec,0.00085977267
cat__BsmtQual_Gd,0.0008409889
cat__HeatingQC_Gd,0.0008328389
cat__SaleType_COD,0.0008318399
num__HalfBath,0.0008238181
cat__Neighborhood_BrkSide,0.0008196391
cat__Foundation_PConc,0.00080652005
cat__Functional_Maj2,0.0008064979
cat__LotShape_IR2,0.00079047825
cat__ExterCond_Fa,0.0007828072
cat__BldgType_1Fam,0.0007474847
num__MoSold,0.00074712984
cat__RoofMatl_CompShg,0.00074157043
cat__LandSlope_Sev,0.00072571996
cat__MSZoning_RH,0.0007145524
cat__Exterior1st_Wd Sdng,0.00070952653
cat__Neighborhood_Sawyer,0.0007078911
num__ScreenPorch,0.0007060606
num__Id,0.000705671
cat__Neighborhood_Somerst,0.000696828
cat__SaleType_WD,0.0006947092
cat__BsmtFinType1_ALQ,0.00067833945
cat__Neighborhood_SWISU,0.0006697666
cat__Neighborhood_StoneBr,0.0006662264
cat__BsmtExposure_Mn,0.0006642169
cat__HeatingQC_Ex,0.00066337263
cat__GarageType_Basment,0.00065529486
cat__LotConfig_Corner,0.0006477577
cat__GarageCond_Fa,0.0006453147
cat__SaleType_ConLD,0.0006434113
cat__LotConfig_Inside,0.0006401204
cat__ExterQual_TA,0.00063098577
cat__ExterQual_Gd,0.00063060166
cat__LotConfig_FR2,0.00062618783
cat__Exterior1st_VinylSd,0.000618977
num__IsRemodeled,0.0006094348
cat__HouseStyle_1.5Fin,0.00060623523
cat__HeatingQC_TA,0.0006057226
cat__GarageCond_TA,0.0005981054
cat__RoofMatl_Tar&Grv,0.00059806905
cat__HouseStyle_SLvl,0.00059685955
cat__Fence_MnPrv,0.0005967018
cat__Exterior2nd_CmentBd,0.0005869652
cat__Condition1_RRAe,0.00056965277
cat__Exterior1st_MetalSd,0.00056269346
num__LowQualFinSF,0.0005619181
